designation;categories;siret;adresse;adresse_courte;commune;code_postal;code_insee;web;telephone;email;media_social;latitude;longitude;association
ERA OCCITANIE;Agence immobiliere;;55 rue Gaston Doumergue;;Tournefeuille;31170;;https://www.era-immobilier-tournefeuille.fr/;;;;;;Made In Tournefeuille: www.made-in-tournefeuille.fr
ESTALI IMMOBILIER Aurelie, Marie, Thierry;Agence immobiliere;;29 chemin St Pierre;;Tournefeuille;31170;;https://www.estali.com/fr/;;;;;;Made In Tournefeuille: www.made-in-tournefeuille.fr
FROMAGERIE BORDENEUVE;Fromager affineur;;3 chemin de Bordeneuve;;Tournefeuille;31170;;https://www.facebook.com/pages/category/Cheese-Shop/La-Fromagerie-Bordeneuve-245510699427645/;;;;;;Made In Tournefeuille: www.made-in-tournefeuille.fr
GABRIELLE ESTHETIQUE;Estheticienne a domicile;;3 rue du pic du midi;;Tournefeuille;31170;;https://www.facebook.com/GabrielleEsthetique/,https://www.instagram.com/gabrielle_esthetique/;;;;;;Made In Tournefeuille: www.made-in-tournefeuille.fr
GENIA MEDIA;Agence de communication digitale;;90 avenue du Marquisat;;Tournefeuille;31170;;https://genia.media/;;;;;;Made In Tournefeuille: www.made-in-tournefeuille.fr
GUY HOQUET;Agence immobiliere;;18 boulevard Vincent Auriol;;Tournefeuille;31170;;https://www.guy-hoquet.com/agence-immobiliere/tournefeuille;;;;;;Made In Tournefeuille: www.made-in-tournefeuille.fr
GYMNASIA;Centre de fitness CC Cap 2000;;1 boulevard Jean Gay;;Tournefeuille;31170;;https://gymnasia.fr/tournefeuille/?utm_source=GMB&utm_content=Tournefeuille;;;;;;Made In Tournefeuille: www.made-in-tournefeuille.fr
HABITAT CREATION;Menuiserie bois PVC;;31 rue du Medoc;;Tournefeuille;31170;;;;;;;;Made In Tournefeuille: www.made-in-tournefeuille.fr
HIGHTECH SERVICE;Vente et reparation telephone, tablette, ordinateur;;29 chemin St Pierre;;Tournefeuille;31170;;https://hightech-service.fr/;;;;;;Made In Tournefeuille: www.made-in-tournefeuille.fr
IMAGIN MOI;Enseignes, baches, Banderoles, stickers;;38 bis avenue Jean Jaures;;Tournefeuille;31170;;;;;;;;Made In Tournefeuille: www.made-in-tournefeuille.fr
LE PRESSING ARTISANAL;Pressing;;29 chemin St Pierre;;Tournefeuille;31170;;https://pressingcaousou.wordpress.com/;;;;;;Made In Tournefeuille: www.made-in-tournefeuille.fr
LA FAGOTIERE;Restaurant;;117 rue Gaston Doumergue;;Tournefeuille;31170;;https://www.facebook.com/sarlpalome/;;;;;;Made In Tournefeuille: www.made-in-tournefeuille.fr
LA PETITE SIRENE;Poissonnerie artisanale;;9 boulevard Eugene Montel;;Tournefeuille;31170;;https://www.facebook.com/pages/category/Retail-Company/Poissonnerie-La-Petite-Sirene-508531742860832/;;;;;;Made In Tournefeuille: www.made-in-tournefeuille.fr
LAYE LAVILLE CATHERINE;Notaire;;22 boulevard Vincent Auriol;;Tournefeuille;31170;;;;;;;;Made In Tournefeuille: www.made-in-tournefeuille.fr
LE BISTRO CLUB;Restaurant, bar, brasserie;;44 rue Gaston Doumergue;;Tournefeuille;31170;;https://www.ladepeche.fr/2020/02/21/premiere-soiree-concert-du-nouveau-bistro-club,8746184.php;;;;;;Made In Tournefeuille: www.made-in-tournefeuille.fr
LE BISTROT DE THEO;Restaurant;;29 chemin St Pierre;;Tournefeuille;31170;;https://www.facebook.com/pages/Le-Bistrot-De-Th%C3%A9o/1597153007191971;;;;;;Made In Tournefeuille: www.made-in-tournefeuille.fr
LE PETIT ATELIER;Atelier de couture;;14 QUATER Chemin du Grillou;;Tournefeuille;31170;;http://petit-atelier-couture.fr/;;;;;;Made In Tournefeuille: www.made-in-tournefeuille.fr
CREATIF;Atelier de loisirs creatifs, bijoux ...;;34 avenue Victor Hugo;;Tournefeuille;31170;;http://lepetitateliercreatif.fr/;;;;;;Made In Tournefeuille: www.made-in-tournefeuille.fr
LE PETIT COQUIN;Artisan boulanger, patissier, chocolatier...;;94 rtue Gaston Doumergue;;Tournefeuille;31170;;https://www.lepetitcoquinpatisserie.fr/;;;;;;Made In Tournefeuille: www.made-in-tournefeuille.fr
L'EMPREINTE;Orthopediste et artisan bottier;;115 rue Gaston Doumergue;;Tournefeuille;31170;;https://lempreintecbc.fr/;;;;;;Made In Tournefeuille: www.made-in-tournefeuille.fr
MAELY;Magasin de vetements pour femmes;;3 boulevard Vincent Auriol;;Tournefeuille;31170;;;;;;;;Made In Tournefeuille: www.made-in-tournefeuille.fr
MARBRERIE SUD OUEST;Fournisseur de granites;;75 chemin Fournolis;;Tournefeuille;31170;;http://www.marbrerie-sudouest.com/;;;;;;Made In Tournefeuille: www.made-in-tournefeuille.fr
